,km,pk,way,vsp_type,vsp_cnd,rail,wear_mm,tie,fasten,hball_sm,rad_m,direct,h_mm,i_prm,l_m,Shkol_mm,mean_F_ballast_kPa,sigma_F_ballast_kPa
0,1,1,1,1,1,P65,1,beton,kb,20,10000,strgh,0,5,50,1520,108.1,13.2
1,1,1,1,1,1,P65,1,beton,gbr_bp,30,10000,strgh,0,0,50,1525,107.2,13.1
2,1,2,1,1,1,P75,1,beton,gbr_pod,40,5000,lft,10,-5,50,1515,118.4,6.1
3,1,2,1,1,1,P65,2,beton,ars,25,10000,strgh,0,0,50,1530,119.4,14.6
4,1,3,1,1,1,P65,1,beton,pandr,45,10000,strgh,0,0,50,1520,107.5,13.1
5,1,3,1,1,1,P65,2,beton,whslo,20,2500,rgt,15,4,50,1520,120.1,2.8
6,1,4,1,2,2,P65,3,der,do,30,10000,strgh,0,0,50,1520,87.3,11.4
7,1,4,1,2,2,P75,5,der,kd,40,10000,strgh,0,1,50,1520,81.8,10.6
8,1,5,1,2,2,P65,9,beton,kb,25,350,lft,100,0,50,1520,112.5,9.0
9,1,5,1,1,1,P65,5,beton,gbr_bp,45,10000,strgh,0,0,50,1520,107.2,13.1
10,1,6,1,1,1,P65,4,beton,gbr_pod,40,10000,strgh,0,-15,50,1540,109.3,13.4
11,1,6,1,1,1,P65,6,beton,ars,25,1500,rgt,40,0,50,1520,132.2,4.4
12,1,7,1,1,1,P75,7,beton,pandr,45,10000,strgh,0,20,50,1520,120.0,14.7
13,1,7,1,1,1,P75,4,beton,gbr_pod,40,5000,lft,10,-5,50,1515,118.4,6.1
14,1,8,1,1,1,P65,2,beton,ars,25,10000,strgh,0,0,50,1530,119.4,14.6
15,1,8,1,1,1,P65,3,beton,pandr,45,10000,strgh,0,0,50,1520,107.5,13.1
16,1,9,1,2,2,P65,4,der,do,30,10000,strgh,0,0,50,1520,87.3,11.4
17,1,9,1,2,2,P75,1,der,kd,40,10000,strgh,0,1,50,1520,81.8,10.6
18,1,10,1,2,2,P65,1,beton,kb,25,350,lft,100,0,50,1520,112.5,9.0
19,1,10,1,1,1,P65,2,beton,pandr,45,10000,strgh,0,0,50,1520,107.5,13.1
