,km,pk,way,vsp_type,vsp_cnd,rail,wear_mm,tie,fasten,hball_sm,rad_m,direct,h_mm,i_prm,l_m,Shkol_mm,mean_F_shpal_vert_kN,sigma_F_shpal_vert_kN,mean_F_shpal_side_kN,sigma_F_shpal_side_kN,mean_Hp_kN,sigma_Hp_kN
0,1,1,1,1,1,P65,1,beton,kb,20,10000,strgh,0,5,50,1520,33.4,4.1,54.2,17.8,5.7,18.5
1,1,1,1,1,1,P65,1,beton,gbr_bp,30,10000,strgh,0,0,50,1525,33.1,4.1,53.7,17.6,5.7,18.4
2,1,2,1,1,1,P75,1,beton,gbr_pod,40,5000,lft,10,-5,50,1515,36.6,1.9,34.4,11.4,8.8,12.8
3,1,2,1,1,1,P65,2,beton,ars,25,10000,strgh,0,0,50,1530,36.9,4.5,59.8,19.6,6.4,20.5
4,1,3,1,1,1,P65,1,beton,pandr,45,10000,strgh,0,0,50,1520,33.2,4.1,53.8,17.7,5.7,18.4
5,1,3,1,1,1,P65,2,beton,whslo,20,2500,rgt,15,4,50,1520,37.1,0.9,20.5,13.2,26.5,14.2
6,1,4,1,2,2,P65,3,der,do,30,10000,strgh,0,0,50,1520,24.9,3.2,13.4,4.8,1.3,5.0
7,1,4,1,2,2,P75,5,der,kd,40,10000,strgh,0,1,50,1520,23.3,3.0,12.6,4.5,1.3,4.7
8,1,5,1,2,2,P65,9,beton,kb,25,350,lft,100,0,50,1520,34.8,2.8,36.8,12.3,13.8,12.9
9,1,5,1,1,1,P65,5,beton,gbr_bp,45,10000,strgh,0,0,50,1520,33.1,4.1,53.7,17.6,5.7,18.4
10,1,6,1,1,1,P65,4,beton,gbr_pod,40,10000,strgh,0,-15,50,1540,33.8,4.1,54.8,18.0,5.9,18.7
11,1,6,1,1,1,P65,6,beton,ars,25,1500,rgt,40,0,50,1520,40.9,1.4,25.4,11.4,28.8,12.2
12,1,7,1,1,1,P75,7,beton,pandr,45,10000,strgh,0,20,50,1520,37.1,4.5,60.1,19.7,6.3,20.6
13,1,7,1,1,1,P75,4,beton,gbr_pod,40,5000,lft,10,-5,50,1515,36.6,1.9,34.4,11.4,8.8,12.8
14,1,8,1,1,1,P65,2,beton,ars,25,10000,strgh,0,0,50,1530,36.9,4.5,59.8,19.6,6.4,20.5
15,1,8,1,1,1,P65,3,beton,pandr,45,10000,strgh,0,0,50,1520,33.2,4.1,53.8,17.7,5.7,18.4
16,1,9,1,2,2,P65,4,der,do,30,10000,strgh,0,0,50,1520,24.9,3.2,13.4,4.8,1.3,5.0
17,1,9,1,2,2,P75,1,der,kd,40,10000,strgh,0,1,50,1520,23.3,3.0,12.6,4.5,1.3,4.7
18,1,10,1,2,2,P65,1,beton,kb,25,350,lft,100,0,50,1520,34.8,2.8,36.8,12.3,13.8,12.9
19,1,10,1,1,1,P65,2,beton,pandr,45,10000,strgh,0,0,50,1520,33.2,4.1,53.8,17.7,5.7,18.4
